feature_name,slop,interception
T1_46,1.702659705,0.985887535
T1_55,1.741914446,-2.804152828
T1_61,1.794804481,5.931761218
T1_68,1.509360275,0.034723901
T1_150,2.691152505,5.709530536
T1_164,2.859339434,-0.83966964
T1_183,3.4241684,3.19206892
T1_217,3.321151342,1.784107276
T1_274,3.398969783,-3.925704522
T1_280,1.604664557,1.251880621
T1_304,2.698686258,1.895873785
T1_308,3.235961231,-3.658594491
T1_321,2.450741255,-1.913369494
T1_322,1.18107823,-1.080169639
T1_377,2.84628653,1.703822827
T1_397,2.86718299,1.175337203
T1_442,2.516454036,-1.537877716
T1_465,2.40350509,-2.698551692
T1_477,3.27529871,-0.823657429
T1_517,2.393655336,-0.509451087
T1_556,2.385872293,0.594502705
T1_598,2.591859838,-0.504474943
T1_613,1.59639025,1.252611359
T1_616,2.793059361,2.033828361
T1_630,2.26265693,-0.632132938
T1C_46,1.936837331,-0.941419589
T1C_101,2.678456994,3.091238922
T1C_114,3.010753233,1.785372957
T1C_119,2.044218445,-1.358439188
T1C_148,3.001054192,0.60021949
T1C_164,2.943565162,-0.409714297
T1C_442,3.103476734,-1.733722839
T1C_473,1.971557918,1.61552224
T1C_513,2.567124797,-1.965178917
T1C_568,2.872464503,-0.847091297
T1C_572,2.619837156,3.870108825
T1C_613,1.983197001,0.437395075
T1C_616,2.877141805,1.896358742
T1C_634,2.44935003,1.150832663
T2_26,1.685375738,0.802339814
T2_44,3.242519393,-0.265193637
T2_115,2.691362792,1.035885295
T2_164,3.062279993,0.274706775
T2_217,4.079077672,1.87327023
T2_248,1.9696571,-1.607975131
T2_262,2.968092477,-1.648875862
T2_274,3.362466713,-4.088899199
T2_279,2.876256783,0.435933158
T2_280,1.593444788,0.085166573
T2_282,2.993368048,4.689295
T2_304,3.1319566,3.012643858
T2_305,2.229774735,5.918418626
T2_308,3.189716285,-2.675872704
T2_351,3.870230098,-3.124964663
T2_377,3.475418965,2.666755817
T2_394,3.631781259,1.354965853
T2_397,2.906986484,1.332652438
T2_427,3.328125904,-2.699696758
T2_457,3.146790649,3.415307103
T2_460,3.221503763,2.104886657
T2_488,2.240027876,5.579524051
T2_490,2.485900004,-3.756756741
T2_494,3.425223473,1.136502858
T2_515,1.770783028,1.618286311
T2_517,2.948484205,-2.313137141
T2_543,2.34522039,-2.371574694
T2_598,3.133303539,-1.407659445
T2_630,2.676716382,-0.444303497
